;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Dominican Republic;0.3523;0.3489;0.3522;0.3431;0.3498;0.3550;0.3189;0.3072;0.4215;0.4115;0.2833;0.2822;0.2676;0.2391;0.2103;0.2268;0.2419;0.2458;0.2517;0.2545;0.2452;0.2492;0.2483;5.0000
Ecuador;0.2129;0.2227;0.2153;0.1789;0.2638;0.3213;0.2322;0.2149;0.2260;0.2455;0.2762;0.3033;0.3193;0.3416;0.2525;0.2789;0.3112;0.3016;0.2864;0.2805;0.2126;0.1950;0.2083;5.0000
Egypt;0.2255;0.2075;0.1884;0.1621;0.1505;0.1620;0.1748;0.1832;0.2180;0.2823;0.3034;0.2995;0.3025;0.3304;0.2496;0.2135;0.2057;0.1640;0.1702;0.1424;0.1318;0.1035;0.1582;5.0000
El Salvador;0.2155;0.2114;0.2602;0.2439;0.2440;0.2683;0.2501;0.2551;0.2592;0.2591;0.2527;0.2594;0.2557;0.2674;0.2395;0.2695;0.2898;0.2857;0.2972;0.2955;0.2949;0.2850;0.2898;5.0000
Estonia;0.6785;0.6179;0.7161;0.7438;0.7023;0.6164;0.6135;0.5832;0.5740;0.6152;0.6591;0.6349;0.6320;0.6680;0.6080;0.7508;0.8654;0.8599;0.8430;0.8180;0.7735;0.7760;0.7654;5.0000
Eswatini;0.6002;0.5935;0.6135;0.6717;0.6500;0.6876;0.7474;0.7717;0.8444;0.6863;0.6038;0.5913;0.5726;0.5444;0.5195;0.4647;0.4575;0.4495;0.4665;0.5025;0.4963;0.4799;0.5037;5.0000
EU15;0.2759;0.2797;0.2972;0.2993;0.3023;0.3338;0.3337;0.3266;0.3188;;;;;;;;;;;;;;;5.0000
EU25;;;;;;;;;;0.3378;0.3521;0.3738;;;;;;;;;;;;5.0000
EU27;;;;;;;;;;;;;0.3793;0.3891;0.3485;0.3859;0.4143;0.4255;;;;;;5.0000
EU28;;;;;;;;;;;;;;;;;;;0.4279;0.4308;0.4385;0.4392;0.4567;5.0000
Finland;;;;;;;;;;;;;;;;;;;;;;;;5.0000
France;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Gabon;0.5939;0.6266;0.6130;0.4741;0.5961;0.6903;0.5428;0.5261;0.5193;0.5504;0.6001;0.6057;0.5853;0.6220;0.5217;0.5766;0.6174;0.6095;0.5736;0.4452;0.4603;0.4404;0.5023;5.0000
Gambia;0.2378;0.2180;0.2293;0.2531;0.2440;0.2580;0.2182;0.2716;0.3109;0.3423;0.3277;0.3385;0.2889;0.2341;0.2535;0.2378;0.2646;0.3085;0.1930;0.1935;0.1608;0.1672;0.2273;5.0000
Georgia;;;;;;0.2299;0.2446;0.2923;0.3184;0.3156;0.3375;0.3287;0.3121;0.2862;0.2974;0.3495;0.3624;0.3815;0.4469;0.4294;0.4474;0.4360;0.5027;5.0000
Germany;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Ghana;0.2450;0.3211;0.3241;0.3387;0.3208;0.4880;0.4523;0.4262;0.4068;0.3930;0.3645;0.2519;0.2453;0.2503;0.2929;0.2948;0.3694;0.4036;0.2583;0.2882;0.3196;0.3188;0.3526;5.0000
Greece;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Grenada;0.3618;0.3587;0.3543;0.3716;0.4524;0.4533;0.3788;0.3195;0.3038;0.3300;0.2141;0.2323;0.2762;0.2516;0.2428;0.2383;0.2519;0.2582;0.2543;0.6016;0.5801;0.5582;0.5582;5.0000
Guatemala;0.1926;0.1781;0.1796;0.1817;0.1900;0.2020;0.2821;0.2630;0.2577;0.2698;0.2505;0.2493;0.2557;0.2472;0.2398;0.2581;0.2663;0.2487;0.2372;0.2316;0.2116;0.1954;0.1880;5.0000
Guinea;0.2112;0.1920;0.1956;0.2129;0.2164;0.2452;0.2858;0.2648;0.2596;0.2463;0.3479;0.2382;0.2355;0.2164;0.2252;0.3034;0.3260;0.3314;0.2647;0.2669;0.2150;0.2937;0.4749;5.0000
Guinea-Bissau;0.1167;0.1052;0.2102;0.1444;0.2486;0.2176;0.2119;0.1783;0.1868;0.1846;0.1615;0.1285;0.2019;0.1985;0.1885;0.1491;0.2567;0.1548;0.1826;0.2021;0.2754;0.2651;0.2777;5.0000
Guyana;1.0121;1.0262;0.9966;0.9593;0.9651;0.9608;0.9287;0.9230;0.8968;0.9556;0.8462;0.5037;0.5124;0.5295;0.4893;0.5138;0.5534;0.5987;0.5157;0.4381;0.4085;0.4584;0.4518;5.0000
Haiti;0.0913;0.1133;0.1045;0.0990;0.1225;0.1270;0.1236;0.1213;0.1582;0.1535;0.1404;0.1449;0.1324;0.1273;0.1571;0.1534;0.1745;0.1691;0.1826;0.1852;0.2001;0.2072;0.1884;5.0000
Honduras;0.4844;0.5476;0.5700;0.5780;0.5293;0.5397;0.5138;0.5273;0.5409;0.5842;0.5901;0.5605;0.5351;0.5133;0.3953;0.4576;0.5126;0.5090;0.4794;0.4756;0.4517;0.4271;0.4339;5.0000
Hungary;0.3915;0.4185;0.4787;0.5285;0.5552;0.6668;0.6473;0.5797;0.5625;;;;;;;;;;;;;;;5.0000
Iceland;0.3495;0.3574;0.3548;0.3381;0.3249;0.3220;0.3706;0.3553;0.3266;0.3238;0.3040;0.3082;0.3302;0.4063;0.4864;0.5198;0.5476;0.5502;0.5349;0.5152;0.5194;0.4741;0.4610;5.0000
India;0.1084;0.1039;0.1069;0.1102;0.1145;0.1300;0.1256;0.1426;0.1495;0.1786;0.1961;0.2127;0.2080;0.2410;0.2040;0.2240;0.2454;0.2453;0.2543;0.2297;0.1981;0.1919;0.1878;5.0000
Indonesia;0.2631;0.2582;0.2786;0.5297;0.3551;0.4098;0.3903;0.3269;0.3048;0.3222;0.3407;0.3103;0.2944;0.2981;0.2416;0.2430;0.2633;0.2459;0.2392;0.2367;0.2116;0.1909;0.2019;5.0000
Ireland;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Israel;0.2751;0.2709;0.2791;0.2860;0.3267;0.3560;0.3132;0.3291;0.3467;0.3916;0.4081;0.4080;0.4051;0.3849;0.3333;0.3502;0.3599;0.3601;0.3368;0.3241;0.3131;0.2994;0.2924;5.0000
Italy;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Jamaica;0.5128;0.4525;0.4059;0.3843;0.3904;0.3879;0.3556;0.3276;0.3661;0.3754;0.3527;0.4013;0.3973;0.4194;0.3448;0.3134;0.3037;0.3018;0.3058;0.3126;0.2990;0.3129;0.3407;5.0000
Japan;0.0897;0.0948;0.1055;0.1052;0.0995;0.1062;0.1023;0.1102;0.1164;0.1297;0.1401;0.1587;0.1749;0.1742;0.1252;0.1504;0.1492;0.1454;0.1592;0.1754;0.1761;0.1625;0.1777;5.0000
Jordan;;;;;;0.4183;0.4213;0.4751;0.4737;0.5257;0.5333;0.5447;0.5486;0.5721;0.4620;0.4809;0.4757;0.4627;0.4231;0.4306;0.3719;0.3466;0.3512;5.0000
Kazakhstan;;;;;;;;;;;;;;;;;;;;;0.2852;0.3184;0.3436;5.0000
Kenya;0.3259;0.2520;0.2269;0.2017;0.2083;0.2159;0.2293;0.2490;0.2409;0.2661;0.2851;0.2298;0.2192;0.2267;0.2003;0.2066;0.2163;0.2223;0.1993;0.1830;0.1659;0.1431;0.1326;5.0000
Korea;0.2593;0.2528;0.2898;0.4039;0.3356;0.3501;0.3273;0.3083;0.3270;0.3830;0.3681;0.3717;0.3918;0.4996;0.4755;0.4942;0.5575;0.5634;0.5388;0.5028;0.4534;0.4228;0.4309;5.0000
Kuwait;0.5235;0.5228;0.5285;0.4386;0.4594;0.5647;0.5130;0.4462;0.5209;0.5692;0.6398;0.6554;0.6341;0.6676;0.5947;0.6667;0.7322;0.7473;0.7086;0.6851;0.5377;0.4889;0.5039;5.0000
Kyrgyzstan;;;;0.3648;0.4220;0.4185;0.3672;0.3958;0.3868;0.4256;0.3831;0.4172;0.5291;0.5355;0.5470;0.5155;0.5454;0.4440;0.4225;0.3745;0.3519;0.3583;0.3425;5.0000
Laos;;;;;;;;;;;;;;;;;;;0.3817;0.4075;0.3395;0.3321;0.3434;5.0000
Latvia;;;;;0.3503;0.3688;0.3806;0.3658;0.3612;;;;;;;;;;;;;;;5.0000
Lesotho;0.5677;0.5602;0.5526;0.5449;0.5372;0.5295;0.5218;0.5140;0.5061;0.4982;0.4901;0.4820;0.5219;0.5317;0.4395;0.3986;0.4415;0.3867;0.3582;0.3562;0.4032;0.4166;0.4166;5.0000
Liberia;;;;;;;;;;;;;;;;;;;;;;0.2142;0.2428;5.0000
Lithuania;;;;;;;0.4404;0.4734;0.4617;;;;;;;;;;;;;;;5.0000
Luxembourg;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Madagascar;0.2413;0.2049;0.2187;0.2152;0.2447;0.3068;0.2908;0.1601;0.2309;0.3264;0.2821;0.2973;0.3032;0.2654;0.2237;0.2497;0.2674;0.2856;0.3006;0.3276;0.3206;0.3364;0.3552;5.0000
Malawi;0.3037;0.2283;0.2136;0.3277;0.2802;0.2560;0.2799;0.1586;0.2017;0.1885;0.1812;0.1763;0.2331;0.2266;0.2003;0.2279;0.2078;0.2620;0.3566;0.3370;0.2916;0.3297;0.2916;5.0000
Malaysia;0.9409;0.9158;0.9329;1.1574;1.2131;1.1981;1.1040;1.0831;1.0694;1.1537;1.1290;1.1219;1.0617;0.9950;0.9142;0.8693;0.8526;0.7930;0.7563;0.7379;0.7055;0.6779;0.7139;5.0000
Maldives;0.7857;0.7861;0.7864;0.7867;0.7871;0.7874;0.7878;0.7881;0.7885;0.7888;0.7892;0.4933;0.9655;0.8671;0.7301;0.7756;0.8803;0.8613;0.8825;0.8923;0.7653;0.7131;0.6762;5.0000
Mali;0.1956;0.1887;0.2383;0.2125;0.2025;0.2248;0.2631;0.2809;0.2577;0.2368;0.2299;0.2843;0.2415;0.2527;0.2173;0.2284;0.2273;0.2689;0.2493;0.2256;0.2404;0.2345;0.2306;5.0000
Malta;1.2227;1.1410;1.1062;1.1034;1.1236;1.1933;1.0850;1.1163;1.0772;;;;;;;;;;;;;;;5.0000
Mauritania;0.5234;0.4941;0.4212;0.3086;0.2724;0.2996;0.2940;0.2834;0.2145;0.2565;0.3072;0.4670;0.4487;0.4595;0.4094;0.5074;0.5613;0.5302;0.4983;0.3915;0.3710;0.3715;0.4356;5.0000
Mauritius;0.5866;0.6359;0.6146;0.6568;0.6380;0.6109;0.6799;0.6161;0.5601;0.5332;0.5902;0.5844;0.5587;0.5107;0.4768;0.5124;0.5244;0.5379;0.4842;0.4885;0.4786;0.4425;0.4245;5.0000
