;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Eswatini;1698982437.76;1602760100.48;1716699913.19;1576904292.46;1547884442.26;1738100853.05;1542477308.89;1432228125.27;2197612701.10;2770082791.50;3178126491.91;3291353835.93;3469363996.37;3294093485.21;3580417066.92;4438778424.30;4820499924.25;4823831656.52;4560713073.92;4377293816.29;4020275298.03;3817430000.00;4433664364.25;1.0000
EU15;9224585021826.62;9412112828175.57;8865323233439.95;9145075327151.59;9142221931342.28;8468248197275.80;8530070975302.60;9284106537342.04;11307469206781.00;;;;;;;;;;;;;;;1.0000
EU25;;;;;;;;;;13666498877661.40;14269756563718.40;15202039115851.60;;;;;;;;;;;;1.0000
EU27;;;;;;;;;;;;;17750635503635.60;19093120667825.00;17063845627366.50;16949734188914.10;18312351241161.60;17260445152669.60;;;;;;1.0000
EU28;;;;;;;;;;;;;;;;;;;18053069090743.20;18669297250216.30;16446079334591.30;16553075746191.80;17344924399291.30;1.0000
Finland;;;;;;;;;;;;;;;;;;;;;;;;1.0000
France;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Gabon;4958845906.35;5694040336.83;5326816859.00;4483417119.84;4662992036.21;5067865320.80;5018874179.19;5310381151.36;6497305662.09;7756293574.98;9578973591.01;10318424464.34;12438956756.45;15508574820.35;12065138272.75;14358584300.30;18186478119.96;17171447372.33;17590745162.13;18179752009.75;14377324797.64;14014369641.77;14892609693.17;1.0000
Gambia;785996982.49;848237108.56;803630742.53;840285264.63;814723460.08;782915402.42;687408804.63;578236035.10;487038821.61;578785951.43;624173239.92;655070067.73;798885556.46;965781078.21;900639534.01;951806368.70;898290989.94;910026155.73;1367041585.09;1259063630.70;1394149615.82;1442298542.09;1489464787.86;1.0000
Georgia;;;;;;3057424694.30;3219488663.77;3395773557.41;3991284895.37;5125365191.99;6410878799.58;7745394293.42;10172882370.55;12795076469.01;10766776414.25;11638500813.56;14434568633.26;15846484587.90;16140014428.28;16509316418.42;13993566297.98;14378036929.06;15081330942.42;1.0000
Germany;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Ghana;6465137614.68;6934984709.48;6891308593.75;7480968858.13;7719354838.71;4983024408.15;5314909953.93;6166330136.29;7632406552.84;8881368538.08;10731634116.74;20409668521.55;24758819717.71;28526891010.49;25977847813.74;32174772955.97;39566292432.86;41939728978.73;63277216921.44;53601126665.14;49181854795.30;55009730589.44;58996776244.42;1.0000
Greece;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Grenada;342172518.52;366911444.44;392190592.59;445903592.59;482009370.37;520044370.37;520444185.19;540336925.93;591018407.41;599118592.59;695370296.30;698700666.67;758683592.59;825976037.04;771275555.56;771013259.26;778655925.93;799882259.26;842620111.11;911497407.41;997007925.93;1061631222.22;1126882296.30;1.0000
Guatemala;14655404433.28;15674835615.31;17790026221.61;19395491992.99;18318412251.36;19288827158.90;18702802789.30;20776669466.61;21917706490.53;23965275995.72;27211377225.27;30231249362.06;34113107085.61;39136954232.20;37734072278.38;41338521637.69;47654783851.83;50388460924.73;53851148431.93;58722323918.16;63767597193.92;68663653469.12;75620095537.50;1.0000
Guinea;3693753379.06;3869032270.92;3783788551.08;3588376057.02;3461282293.65;2995360969.16;2833442750.44;2949637039.04;3446442218.90;3666349049.43;2937071767.26;4220019242.75;6281917655.89;6964179193.84;6716904568.76;6853467857.62;6785137172.77;7638045254.43;8376613843.27;8778473614.55;8794202443.68;8604520929.47;9915311049.15;1.0000
Guinea-Bissau;253966922.28;270419779.42;268550998.22;206457544.50;224446663.80;370173838.65;392278168.20;415843482.00;476388260.64;531109356.17;586795675.42;591839470.67;695990208.38;864654795.29;826798659.77;849050127.50;1098379391.95;989327811.79;1045790132.99;1053512334.17;1047808175.00;1178204501.39;1346841897.00;1.0000
Guyana;621626785.92;705406001.42;749138009.56;717530683.17;694754988.26;712667896.73;712167575.62;726131434.72;743064076.79;787814379.18;824880550.34;1458453715.33;1740180444.26;1916994911.93;2061323853.89;2273225041.96;2576024115.58;2861562265.88;2987684170.24;3077643313.71;3197225181.60;3504024213.08;3555205811.14;1.0000
Haiti;2813313278.81;2907514522.93;3338938830.02;3723909226.87;4153736347.44;3953846310.66;3596443004.56;3472191962.42;2960306120.94;3537720277.50;4310358095.63;4756204069.62;5885325589.98;6548530572.35;6584649419.28;6622541528.57;7516834160.25;7890216507.69;8452509315.88;8776350789.60;8724656126.50;7975563430.00;8408252995.16;1.0000
Honduras;5347445005.21;5215028986.49;5737099650.19;6366340265.88;6414520529.62;7103507989.05;7565877533.54;7775075857.73;8140282679.97;8772170427.48;9672027224.16;10841723354.44;12275493958.78;13789727209.77;14486137413.55;15729644901.13;17588097149.76;18400538970.11;18372173610.67;19618567447.22;20833948912.29;21566622849.61;22940179173.61;1.0000
Hungary;46418916500.35;46659796772.55;47290180588.60;48770466838.65;49170434390.99;47310623887.23;53821315066.10;67716887203.41;85324771841.41;;;;;;;;;;;;;;;1.0000
Iceland;7134341218.43;7438183246.62;7580988916.05;8494094642.91;8971609106.48;9003639475.42;8205357164.41;9294651863.32;11414054860.58;13834751482.01;16812529923.77;17216417442.29;21514962936.54;17905251832.05;13164652894.25;13683689802.28;15158548597.39;14724078264.24;16033517529.25;17758089312.49;17344165907.21;20716024757.41;24489493459.01;1.0000
India;360281961338.47;392897063750.68;415867763815.89;421351487589.81;458820428317.59;468394948471.62;485441026156.55;514937961192.91;607699299977.15;709148531774.82;820381672147.74;940259892374.50;1216735426855.47;1198895498504.14;1341886699393.18;1675615312693.42;1823049927771.46;1827637859135.70;1856722121394.53;2039127446298.55;2103587813812.75;2290432075123.75;2652551202555.27;1.0000
Indonesia;202132028723.12;227369679374.97;215748998609.64;95445547872.72;140001351215.46;165021012077.81;160446947784.91;195660611165.18;234772463823.81;256836875295.45;285868618224.02;364570514304.85;432216737774.86;510228634992.26;539580085612.40;755094160363.07;892969107923.10;917869910105.75;912524136718.02;890814755233.23;860854235065.08;931877364177.74;1015423455783.28;1.0000
Ireland;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Israel;100238675688.24;109855414136.67;114622322548.85;115861598589.51;117011468004.93;132243719324.06;130671332049.36;121042412533.24;126808836147.65;135341922021.42;142411275954.28;153982562749.68;178743403203.43;215960886649.94;207451779086.03;233732926323.39;261716880681.78;257435001991.47;292917010877.22;310007879343.47;300470790394.92;319377923613.70;353268411918.58;1.0000
Italy;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Jamaica;6538840169.73;7368000000.00;8375077442.97;8763219645.29;8851581632.65;8985352831.94;9178016493.06;9694169756.90;9399447609.18;10150978154.55;11204416000.00;11901911987.86;12827809965.24;13680482787.00;12067478477.57;13200286270.47;14413359665.43;14798716216.22;14193012191.50;13852192273.14;14145469269.46;14072135208.57;14781107821.75;1.0000
Japan;5449116304981.10;4833712542207.10;4414732843544.43;4032509760872.94;4562078822335.45;4887519660744.86;4303544259842.72;4115116279069.77;4445658071221.86;4815148854362.11;4755410630912.14;4530377224970.40;4515264514430.57;5037908465114.48;5231382674593.70;5700098114744.41;6157459594823.72;6203213121334.12;5155717056270.83;4850413536037.84;4389475622588.97;4926667087367.51;4859950558538.97;1.0000
Jordan;;;;;;8460424400.56;8975689844.85;9582453032.44;10195660789.84;11411390409.03;12588665303.24;15056929760.23;17110587447.11;22218617771.51;23974612129.76;26551480959.10;28932299012.69;30966149506.35;33675599435.83;36104372355.43;37968970380.82;39252468265.16;40765867418.90;1.0000
Kazakhstan;;;;;;;;;;;;;;;;;;;;;184388432148.72;137278320084.17;162886867831.69;1.0000
